web-scraper-order,web-scraper-start-url,law1,law1-href,law2,law2-href
"1750389494-18","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 章 期日及期間","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=17"
"1750389494-19","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 章 消滅時效","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=18"
"1750389494-20","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 七 章 權利之行使","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=19"
"1750389494-21","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 編 債","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=20"
"1750389494-22","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 章 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=21"
"1750389494-23","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 債之發生","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=22"
"1750389494-24","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 契約","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=23"
"1750389494-25","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 代理權之授與","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=24"
"1750389494-26","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 無因管理","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=25"
"1750389494-27","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 款 不當得利","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=26"
"1750389494-28","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 款 侵權行為","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=27"
"1750389494-29","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 債之標的","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=28"
"1750389494-30","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 債之效力","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=29"
"1750389494-31","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 給付","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=30"
"1750389494-32","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 遲延","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=31"
"1750389494-33","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 保全","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=32"
"1750389494-34","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 款 契約","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=33"
"1750389494-35","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 多數債務人及債權人","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=34"
"1750389494-36","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 節 債之移轉","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=35"
"1750389494-37","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 節 債之消滅","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=36"
"1750389494-38","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=37"
"1750389494-39","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 清償","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=38"
"1750389494-40","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 提存","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=39"
"1750389494-41","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 款 抵銷","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=40"
"1750389494-42","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 款 免除","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=41"
"1750389494-43","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 款 混同","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=42"
"1750389494-44","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 章 各種之債","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=43"
"1750389494-45","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 買賣","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=44"
"1750389494-46","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=45"
"1750389494-47","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 效力","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=46"
"1750389494-48","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 買回","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=47"
"1750389494-49","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 款 特種買賣","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=48"
"1750389494-50","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 互易","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=49"
"1750389494-51","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 交互計算","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=50"
"1750389494-52","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 贈與","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=51"
"1750389494-53","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 節 租賃","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=52"
"1750389494-54","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 節 借貸","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=53"
"1750389494-55","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 使用借貸","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=54"
"1750389494-56","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 消費借貸","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=55"
"1750389494-57","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 七 節 僱傭","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=56"
"1750389494-58","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 八 節 承攬","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=57"
"1750389494-59","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 八 節之一 旅遊","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=58"
"1750389494-60","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 九 節 出版","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=59"
"1750389494-61","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十 節 委任","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=60"
"1750389494-62","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十一 節 經理人及代辦商","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=61"
"1750389494-63","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十二 節 居間","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=62"
"1750389494-64","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十三 節 行紀","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=63"
"1750389494-65","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十四 節 寄託","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=64"
"1750389494-66","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十五 節 倉庫","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=65"
"1750389494-67","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十六 節 運送","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=66"
"1750389494-68","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=67"
"1750389494-69","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 物品運送","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=68"
"1750389494-70","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 旅客運送","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=69"
"1750389494-71","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十七 節 承攬運送","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=70"
"1750389494-72","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十八 節 合夥","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=71"
"1750389494-73","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十九 節 隱名合夥","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=72"
"1750389494-74","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十九 節之一  合會","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=73"
"1750389494-75","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十 節 指示證券","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=74"
"1750389494-76","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十一 節 無記名證券","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=75"
"1750389494-77","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十二 節 終身定期金","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=76"
"1750389494-78","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十三 節 和解","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=77"
"1750389494-79","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十四 節 保證","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=78"
"1750389494-80","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二十四 節之一 人事保證","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=79"
"1750389494-81","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 編 物權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=80"
"1750389494-82","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 章 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=81"
"1750389494-83","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 章 所有權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=82"
"1750389494-84","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=83"
"1750389494-85","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 不動產所有權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=84"
"1750389494-86","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 動產所有權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=85"
"1750389494-87","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 共有","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=86"
"1750389494-88","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 章 地上權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=87"
"1750389494-89","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 普通地上權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=88"
"1750389494-90","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 區分地上權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=89"
"1750389494-91","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 章 （刪除）","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=90"
"1750389494-92","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 章之一 農育權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=91"
"1750389494-93","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 章 不動產役權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=92"
"1750389494-94","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 章 抵押權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=93"
"1750389494-95","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 普通抵押權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=94"
"1750389494-96","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 最高限額抵押權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=95"
"1750389494-97","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 其他抵押權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=96"
"1750389494-98","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 七 章 質權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=97"
"1750389494-99","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 動產質權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=98"
"1750389494-100","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 權利質權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=99"
"1750389494-101","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 八 章 典權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=100"
"1750389494-102","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 九 章 留置權","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=101"
"1750389494-103","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 十 章 占有","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=102"
"1750389494-104","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 編 親屬","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=103"
"1750389494-105","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 章 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=104"
"1750389494-106","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 章 婚姻","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=105"
"1750389494-107","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 婚約","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=106"
"1750389494-108","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 結婚","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=107"
"1750389494-109","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 婚姻之普通效力","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=108"
"1750389494-110","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 夫妻財產制","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=109"
"1750389494-111","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 款 通則","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=110"
"1750389494-112","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 款 法定財產制","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=111"
"1750389494-113","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 款 約定財產制","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=112"
"1750389494-114","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 目  共同財產制","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=113"
"1750389494-115","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 目  （刪除）","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=114"
"1750389494-116","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 目  分別財產制","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=115"
"1750389494-117","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 節 離婚","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=116"
"1750389494-118","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 章 父母子女","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=117"
"1750389494-119","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 章 監護","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=118"
"1750389494-120","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 未成年人之監護","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=119"
"1750389494-121","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 成年人之監護及輔助","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=120"
"1750389494-122","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 成年人之意定監護","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=121"
"1750389494-123","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 章 扶養","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=122"
"1750389494-124","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 六 章 家","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=123"
"1750389494-125","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 七 章 親屬會議","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=124"
"1750389494-126","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 五 編 繼承","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=125"
"1750389494-127","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 章 遺產繼承人","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=126"
"1750389494-128","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 章 遺產之繼承","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=127"
"1750389494-129","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 一 節 效力","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=128"
"1750389494-130","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 二 節 （刪除）","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=129"
"1750389494-131","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 三 節 遺產之分割","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=130"
"1750389494-132","https://law.moj.gov.tw/LawClass/LawAllPara.aspx?pcode=B0000001","","","第 四 節 繼承之拋棄","https://law.moj.gov.tw/LawClass/LawParaDeatil.aspx?pcode=B0000001&bp=131"
